"Region","Station","Date","Daily Rainfall Total (mm)","Highest 30 min Rainfall (mm)","Highest 60 min Rainfall (mm)","Highest 120 min Rainfall (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","Latitude","Longitude"
"North","Admiralty",2020-05-09,13.4,3.4,4.8,7.2,25,26,23.5,8.3,31.3,1.4439,103.7854
"North","Admiralty",2020-05-10,0,0,0,0,29.4,33.9,26.5,8.7,25.6,1.4439,103.7854
"North","Admiralty",2020-05-11,0,0,0,0,28.2,33.4,24.5,11.7,26.7,1.4439,103.7854
"North","Admiralty",2020-05-12,0.2,0.2,0.2,0.2,26.6,30.2,24.9,21.2,52.2,1.4439,103.7854
"North","Admiralty",2020-05-13,2.4,1.4,1.4,1.6,27.8,31.3,24.7,10.8,38.2,1.4439,103.7854
"North","Admiralty",2020-05-14,0,0,0,0,29.1,34.2,25.6,12.4,35.6,1.4439,103.7854
"North","Admiralty",2020-05-15,0,0,0,0,30.1,34.7,27,9.9,32.4,1.4439,103.7854
"North","Admiralty",2020-05-16,10.8,10.4,10.8,10.8,29.8,33.9,26.6,9.4,38.9,1.4439,103.7854
"North","Admiralty",2020-05-17,46,27,35.2,38.2,28.2,33.1,24.7,9.3,39.6,1.4439,103.7854
"North","Admiralty",2020-05-18,0,0,0.6,3.4,29.1,34.4,25.3,7.6,23.7,1.4439,103.7854
"North","Admiralty",2020-05-19,0,0,0,0,30.1,34.1,28,10.5,36.7,1.4439,103.7854
"North","Admiralty",2020-05-20,NA,NA,NA,NA,28.8,33.4,25.7,9.9,45.7,1.4439,103.7854
"North","Admiralty",2020-05-21,0.2,NA,NA,NA,29,35.8,26.5,10.5,42,1.4439,103.7854
"North","Admiralty",2020-05-22,40,23.6,39.4,40,27.9,32.4,23.4,10.9,35,1.4439,103.7854
"North","Admiralty",2020-05-23,0.2,0.2,0.2,0.2,27.5,30.8,26,9.4,25.9,1.4439,103.7854
"North","Admiralty",2020-05-24,0,0,0,0,28.5,33.6,26.4,12.1,42,1.4439,103.7854
"North","Admiralty",2020-05-25,13.6,13.4,13.6,13.6,28.7,34.6,26.2,10.9,34.3,1.4439,103.7854
"North","Admiralty",2020-05-26,2.2,1.4,1.8,2,28.9,35,26.1,9.6,30.6,1.4439,103.7854
"North","Admiralty",2020-05-27,1.8,0.8,1.4,1.8,28.1,31.4,25.9,10.7,41.1,1.4439,103.7854
"North","Admiralty",2020-05-28,0.6,0.6,0.6,0.6,29,34.3,26.5,11,35.2,1.4439,103.7854
"North","Admiralty",2020-05-29,3.8,3.6,3.8,3.8,28.1,32.4,25.1,9.6,39.6,1.4439,103.7854
"North","Admiralty",2020-05-30,6,4,4,5.2,27.8,34.7,25.2,10.1,45,1.4439,103.7854
"North","Admiralty",2020-05-31,0,0,0,0,28.3,33.5,25.9,11.1,29.1,1.4439,103.7854
"North","Admiralty",2020-06-01,4.8,1.6,2.8,3.8,26,30.7,23.8,18,51.5,1.4439,103.7854
"North","Admiralty",2020-06-02,0,0,0,0,27.8,31.5,25.4,23,48.6,1.4439,103.7854
"North","Admiralty",2020-06-03,0,0,0,0,27.5,31.7,25.1,13.3,38.2,1.4439,103.7854
"North","Admiralty",2020-06-04,0,0,0,0,27.7,30.8,25.9,11.2,35.6,1.4439,103.7854
"North","Admiralty",2020-06-05,0.2,0.2,0.2,0.2,28.4,31.6,25,7.9,37.4,1.4439,103.7854
"North","Admiralty",2020-06-06,3.2,NA,NA,NA,27,29.4,24.3,8.5,25.2,1.4439,103.7854
"North","Admiralty",2020-06-07,2,1.4,2,2,27.6,32.5,25.3,11.8,36.7,1.4439,103.7854
"North","Admiralty",2020-06-08,0,0,0,0,29.5,33.5,27.7,8.2,25.6,1.4439,103.7854
"North","Admiralty",2020-06-09,12.4,8,11,12,25.9,31.6,23.4,10.9,41.5,1.4439,103.7854
"North","Admiralty",2020-06-10,0,0,0,0,28.9,32.8,26.5,9.8,29.1,1.4439,103.7854
"North","Admiralty",2020-06-11,0,0,0,0,29.3,33.6,26.1,11.1,31.3,1.4439,103.7854
"North","Admiralty",2020-06-12,0,0,0,0,28,32.3,25.8,22.4,46.9,1.4439,103.7854
"North","Admiralty",2020-06-13,7.4,1.2,2.2,3.2,25.6,27.2,24.3,9,29.4,1.4439,103.7854
"North","Admiralty",2020-06-14,1.2,1,1,1,28,33.2,25.1,8.2,33.9,1.4439,103.7854
